233	mulExp#;	reduction
234	addExp#;	reduction
235	relExp#;	reduction
236	eqExp#;	reduction
237	lAndExp#;	reduction
238	lOrExp#;	reduction
239	assignExp#;	reduction
240	exp#;	reduction
241	exp_opt#;	move
242	;#}	reduction
243	stmt#}	reduction
244	blockItem#}	reduction
245	blockItem_list#}	move
246	}#}	reduction
247	block#}	reduction
248	stmt#}	reduction
249	else_opt#}	reduction
250	stmt#}	reduction
251	blockItem#}	reduction
252	blockItem_list#}	move
253	}#else	reduction
254	block#else	reduction
255	stmt#else	move
256	else#{	move
257	{#Ident	reduction
258	blockItem_list#Ident	move
259	Ident#=	reduction
260	lVal#=	move
261	=#Ident	move
262	Ident#+	reduction
263	lVal#+	reduction
264	primaryExp#+	reduction
265	unaryExp#+	reduction
266	mulExp#+	reduction
267	addExp#+	move
268	+#floatConst	move
269	floatConst#;	reduction
270	number#;	reduction
271	primaryExp#;	reduction
272	unaryExp#;	reduction
273	mulExp#;	reduction
274	addExp#;	reduction
275	relExp#;	reduction
276	eqExp#;	reduction
277	lAndExp#;	reduction
278	lOrExp#;	reduction
279	assignExp#;	reduction
280	assignExp#;	reduction
281	exp#;	reduction
282	exp_opt#;	move
283	;#if	reduction
284	stmt#if	reduction
285	blockItem#if	reduction
286	blockItem_list#if	move
287	if#(	move
288	(#Ident	move
289	Ident#<	reduction
290	lVal#<	reduction
291	primaryExp#<	reduction
292	unaryExp#<	reduction
293	mulExp#<	reduction
294	addExp#<	reduction
295	relExp#<	move
296	<#floatConst	move
297	floatConst#)	reduction
298	number#)	reduction
299	primaryExp#)	reduction
300	unaryExp#)	reduction
301	mulExp#)	reduction
302	addExp#)	reduction
303	relExp#)	reduction
304	eqExp#)	reduction
305	lAndExp#)	reduction
306	lOrExp#)	reduction
307	cond#)	move
308	)#{	move
309	{#return	reduction
310	blockItem_list#return	move
311	return#-	move
312	-#IntConst	reduction
313	unaryOp#IntConst	move
314	IntConst#;	reduction
315	number#;	reduction
316	primaryExp#;	reduction
317	unaryExp#;	reduction
318	unaryExp#;	reduction
319	mulExp#;	reduction
320	addExp#;	reduction
321	relExp#;	reduction
322	eqExp#;	reduction
323	lAndExp#;	reduction
324	lOrExp#;	reduction
325	assignExp#;	reduction
326	exp#;	reduction
327	exp_opt#;	move
328	;#}	reduction
329	stmt#}	reduction
330	blockItem#}	reduction
331	blockItem_list#}	move
332	}#else	reduction
333	block#else	reduction
334	stmt#else	move
335	else#{	move
336	{#return	reduction
337	blockItem_list#return	move
338	return#IntConst	move
339	IntConst#;	reduction
340	number#;	reduction
341	primaryExp#;	reduction
342	unaryExp#;	reduction
343	mulExp#;	reduction
344	addExp#;	reduction
345	relExp#;	reduction
346	eqExp#;	reduction
347	lAndExp#;	reduction
348	lOrExp#;	reduction
349	assignExp#;	reduction
350	exp#;	reduction
351	exp_opt#;	move
352	;#}	reduction
353	stmt#}	reduction
354	blockItem#}	reduction
355	blockItem_list#}	move
356	}#}	reduction
357	block#}	reduction
358	stmt#}	reduction
359	else_opt#}	reduction
360	stmt#}	reduction
361	blockItem#}	reduction
362	blockItem_list#}	move
363	}#}	reduction
364	block#}	reduction
365	stmt#}	reduction
366	else_opt#}	reduction
367	stmt#}	reduction
368	blockItem#}	reduction
369	blockItem_list#}	move
370	}#EOF	reduction
371	block#EOF	reduction
372	funcDef#EOF	reduction
373	compUnit_item#EOF	reduction
374	compUnit_list#EOF	move
375	EOF#EOF	reduction
376	compUnit#EOF	reduction
377	Program#EOF	accept
