State,!,!=,%,&&,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,EOF,Ident,IntConst,const,else,float,floatConst,if,int,return,void,{,||,},Program,addExp,bType,block,blockItem,blockItem_list,compUnit,compUnit_item,compUnit_list,cond,constDecl,constDef,constDef_list,constExp,constInitVal,decl,else_opt,eqExp,exp,exp_opt,funcDef,funcFParam,funcFParam_list,funcFParams,funcFParams_opt,funcRParam,funcRParam_list,funcRParams,funcRParams_opt,initVal,lAndExp,lOrExp,lVal,mulExp,number,primaryExp,relExp,stmt,unaryExp,unaryOp,varDecl,varDef,varDef_list
45,,,,,,,,,,,,,,,,,,,,,,,,,,,r19,s20,,,,,,,,,,,,,,,,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,r17,r17,r17,r17,r17,r17,,r17,r17,,,,,,,,,,,,,r17,r17,,r17,r17,r17,,r17,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,s30,s31,,,,,,,,,,,,,s28,s29,,,,,,s32,s33,s36,,,,,,,,,,,s65,,,,,,,,,,,,,,,,,,s38,s41,s40,s42,,s43,,,,s39,s63,,,,,s64
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s22,,,,,,,,,,,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,r29,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,s12,s14,,,s10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s24,,,,,,,,,,,s68,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,s69,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,s71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,s30,s31,,,,,,,,,,,,,s28,s29,r56,,,,,s32,s33,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,s72,,s38,s41,s40,s42,s75,s43,s74,,s73,s39,s34,,,,,
56,,,,,,,,s30,s31,,,,,,,,,,,,,s28,s29,,,,,,s32,s33,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s38,s41,s40,s42,,s43,,,,s76,,,,,,
57,,,,,,,,s30,s31,,,,,,,,,,,,,s28,s29,,,,,,s32,s33,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s38,s41,s40,s42,,s43,,,,s77,,,,,,
